epoch,train_loss
0,100.96198272705078
1,4.04120683670044
2,3.20743465423584
3,3.1158642768859863
4,3.200134515762329
5,2.993908643722534
6,2.9902679920196533
7,2.8520140647888184
8,3.4377777576446533
9,2.4948925971984863
10,2.364388942718506
11,2.091388463973999
12,2.291388511657715
13,1.7644851207733154
14,1.768188714981079
15,1.5247654914855957
16,1.328742742538452
17,1.2822389602661133
18,1.2160604000091553
19,1.118308186531067
20,1.1724250316619873
21,1.1182605028152466
22,0.9414862394332886
23,1.049839735031128
24,0.8853369355201721
25,0.8822962045669556
26,0.8671046495437622
27,0.8049322366714478
28,0.8429141044616699
29,0.9017386436462402
30,0.7111217975616455
31,0.838416576385498
32,0.821559488773346
33,0.754955530166626
34,0.6284911036491394
35,0.6525411605834961
36,0.7155317664146423
37,0.6217540502548218
38,0.4549489617347717
39,0.3975185453891754
40,0.5500670671463013
41,0.6162745356559753
42,0.5455389618873596
43,0.5874340534210205
44,0.4874602556228637
45,0.4320366382598877
46,0.431629478931427
47,0.4416525363922119
48,0.416400134563446
49,0.5064224004745483
